imdbId,Image width,Image height,Bits/pixel,Pixel format,Compression,Format version,MIME type,Endianness
38348,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1829041,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
878695,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
43012,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
60790,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1014774,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
422272,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
331041,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
264150,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
400383,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
54745,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
100928,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
239593,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
104006,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
45880,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
101889,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
114709,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
3263690,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
2518788,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
32043,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
4193394,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
94897,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
110891,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
26095,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
4796122,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
3597400,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1821352,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
1232207,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
66830,182 pixels,268 pixels,24,YCbCr,JPEG (Baseline),JFIF 1.01,image/jpeg,Big endian
